2022-02-15	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1797_M_City_Commission_Regular_Meeting_22-02-15_Action_Summary.pdf
2022-02-15	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1798_A_City_Commission_Conference_Meeting_22-02-15_Conference_Meeting.pdf
2022-02-15	CITY_COMMISSION_WORKSHOP	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1846_A_CITY_COMMISSION_WORKSHOP_22-02-15_Conference_Meeting.pdf
2022-02-15	CITY_COMMISSION_WORKSHOP	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1851_A_CITY_COMMISSION_WORKSHOP_22-02-15_Conference_Meeting.pdf
2022-02-15	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1852_A_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-02-15_CRA_Agenda.pdf
2022-02-15	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1852_M_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-02-15_Action_Summary.pdf
2022-03-01	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1799_A_City_Commission_Conference_Meeting_22-03-01_Conference_Meeting.pdf
2022-03-01	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1800_A_City_Commission_Regular_Meeting_22-03-01_Regular_Agenda.pdf
2022-03-01	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1800_M_City_Commission_Regular_Meeting_22-03-01_Action_Summary.pdf
2022-03-01	Other_Post-Employment_Benefits_Board_Mee	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1853_A_Other_Post-Employment_Benefits_Board_Meeting_22-03-01_OPEB.pdf
